Revenu 		 Revenu 		 Score: 1.0000
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus de tout le foyer 		 Score: 1.0000
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus de tout le foyer 		 Score: 1.0000
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus de tout le foyer 		 Score: 1.0000
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus de tout le foyer 		 Score: 1.0000
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus de tout le foyer 		 Score: 1.0000
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus de tout le foyer 		 Score: 1.0000
Financement 		 Financement 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
financement par création monétaire 		 financement par création monétaire 		 Score: 1.0000
Le financement du RUA 		 financement du RUA 		 Score: 0.9866
AAH 		 Aah 		 Score: 0.9859
AAH 		 Aah 		 Score: 0.9859
Conditions à remplir 		 les conditions à remplir 		 Score: 0.9826
Eviter la pauvreté et l'inflation. 		 Eviter à la fois la pauvreté et l'inflation. 		 Score: 0.9819
FINANCEMENT 		 Financement 		 Score: 0.9816
FINANCEMENT 		 Financement 		 Score: 0.9816
Condition à remplir 		 Conditions à remplir 		 Score: 0.9798
financement 		 pour le financement 		 Score: 0.9636
Simplifications 		 simplification 		 Score: 0.9606
conditions 		 les conditions 		 Score: 0.9598
PRISE EN COMPTE DES ALLOCATIONS SPECIFIQUES DE LA VILLE DE PARIS 		 ALLOCATIONS PARTICULIERES  DE LA VILLE DE PARIS A PRENDRE EN COMPTE  DANS LE CALCUL DES REVENUS 		 Score: 0.9586
aller vers un revenu universel 		 Le revenu universel pour tous 		 Score: 0.9508
Sous quelles conditions 		 les conditions 		 Score: 0.9494
Condition à remplir 		 les conditions à remplir 		 Score: 0.9451
Financement 		 Comment financer 		 Score: 0.9413
Financement 		 Comment financer 		 Score: 0.9413
FINANCEMENT 		 financement 		 Score: 0.9374
FINANCEMENT 		 Comment financer 		 Score: 0.9362
Solidarité nationale ET taxe entreprise 		 Sensibiliser les paradis fiscaux à la Solidarité Nationale 		 Score: 0.9195
financement 		 Financement 		 Score: 0.9155
financement 		 Financement 		 Score: 0.9155
Les prérequis facilitant la mise en oeuvre du revenu universel 		 aller vers un revenu universel 		 Score: 0.9127
Sous quelles conditions 		 conditions 		 Score: 0.9104
RUA fonctionnement 		 fonctionnement 		 Score: 0.9098
financement 		 Comment financer 		 Score: 0.9080
Conditions de ressources 		 Uniquement en fonction des conditions de ressources 		 Score: 0.9060
Sous quelles conditions 		 les conditions à remplir 		 Score: 0.9041
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus et la situation du foyer 		 Score: 0.9036
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus et la situation du foyer 		 Score: 0.9036
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus et la situation du foyer 		 Score: 0.9036
Prendre en compte les revenus de tout le foyer 		 Prendre en compte les revenus et la situation du foyer 		 Score: 0.9036
Pour tous = simplification 		 simplification 		 Score: 0.9025
conditions pour le revenu universel d'activité 		 revenu universel activite 		 Score: 0.8993
Pas de conditions de ressources si ce doit être universel. 		 Surtout pas de conditions de ressources, sinon ce n'est plus universel 		 Score: 0.8990
Les revenus du foyer 		 Prendre en compte les revenus et la situation du foyer 		 Score: 0.8972
Tout prendre en compte 		 Il doit tout prendre en compte 		 Score: 0.8959
RU 		 Fonctionnement RU 		 Score: 0.8950
financement 		 proposition de financement 		 Score: 0.8935
les modalites 		 Modalités 		 Score: 0.8932
Sous quelles conditions 		 Conditions à remplir 		 Score: 0.8921
revenu dactivité universel sauf apl 		 revenu universel activite 		 Score: 0.8906
proposition de financement 		 pour le financement 		 Score: 0.8881
Les prérequis facilitant la mise en oeuvre du revenu universel 		 Le revenu universel pour tous 		 Score: 0.8866
revenu universel activite 		 Un vrai revenu UNIVERSEL (pas lié à l'activité) 		 Score: 0.8856
Droits et devoir 		 associer droits aux devoirs 		 Score: 0.8855
conditions pour le revenu universel d'activité 		 revenu dactivité universel sauf apl 		 Score: 0.8841
simplification 		 Simplification radicale 		 Score: 0.8828
Les revenus du foyer 		 juste sur les revenus 		 Score: 0.8798
Droits et devoir 		 Contrôle des droits 		 Score: 0.8795
REVENU minimum pour tous et toutes sans distinction 		 Revenu minimum pour toutes et  tous 		 Score: 0.8785
Bouclier universel 		 UNIVERSALITE 		 Score: 0.8775
JE SUIS CONTRE UN REVENU UNIVERSEL SANS CONTREPARTIE D'UN TRAVAIL 		 FAIRE DES HEURES DE BENEVOLATS EN MILIEU ASSOCIATIF EN CONTRE PARTIE DU RUA 		 Score: 0.8765
revenu universel activite 		 revenu universel calcul 		 Score: 0.8761
aller vers un revenu universel 		 Un vrai revenu UNIVERSEL (pas lié à l'activité) 		 Score: 0.8758
Revenu universel pour TOUS 		 Revenu universel 		 Score: 0.8754
Sous quelles conditions 		 Condition à remplir 		 Score: 0.8748
Comment financer 		 pour le financement 		 Score: 0.8708
aller vers un revenu universel 		 revenu universel activite 		 Score: 0.8697
